Name,Grade,Masks Required?,Type of Requirement,Law Date,Notes,Link 1
Alaska,2,Parts of State,null,null,Partially,https://mustreadalaska.com/anchorage-mandates-customers-must-wear-masks/
Florida,2,Parts of State,null,null,Partially,https://www.sun-sentinel.com/coronavirus/fl-ne-cities-ordering-face-masks-20200410-ctxqqd6bonge7afalvso6h7ijm-story.html
Idaho,2,Parts of State,null,null,Partially: Casinos,https://www.nbcnews.com/news/us-news/masks-required-fewer-games-buffet-closed-idaho-casino-offers-glimpse-n1210756
Kansas,2,Parts of State,null,null,Partially,https://www.kansascity.com/news/politics-government/article242511816.html
Kentucky,2,Parts of State,null,null,"Mandatory, but seems to have no penalty",https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=147
Minnesota,2,Parts of State,null,null,Partially,https://www.kare11.com/article/news/health/coronavirus/minneapolis-makes-face-coverings-mandatory-in-public-places/89-7ce5178f-5313-4188-96b5-875a949330a8
Mississippi,2,Parts of State,null,null,Partially,https://mspolicy.org/masks-to-be-required-in-oxford/
Missouri,2,Parts of State,null,null,Partially,https://kmox.radio.com/articles/news/st-louis-to-request-everyone-wear-face-masks-in-public
New Hampshire,2,Parts of State,null,null,Partially,https://www.nhpr.org/post/coronavirus-update-nashua-requires-face-masks-worn-public#stream/0
North Carolina,2,Parts of State,null,null,Partially,https://abc11.com/durham-county-coronavirus-nc-face-mask/6111676/
North Dakota,2,Parts of State,null,null,Partially,https://kfgo.com/2020/04/16/62946/
Ohio,2,Parts of State,null,null,Mandatory: Workers Only,https://www.news5cleveland.com/news/continuing-coverage/coronavirus/gov-dewine-reverses-reversal-face-masks-will-now-be-required-for-employees
Oklahoma,2,Parts of State,null,null,"Mandatory, but only for certain customers at certain businesses",https://kfor.com/news/local/list-oklahoma-cities-requiring-recommending-residents-to-wear-face-masks-in-public/
Tennessee,2,Parts of State,null,null,Partially,https://www.wsmv.com/news/workers-required-to-wear-face-masks-in-nashville-as-phase-1-begins-today/article_3efb2a24-939d-11ea-acc3-db32dfabf40b.html
Texas,2,Parts of State,null,null,Partially,https://abc13.com/san-antonio-and-dallas-face-masks-required-$1-000-fine/6110266/
Washington,2,Parts of State,null,null,No,https://komonews.com/news/coronavirus/covid-19-seattle-king-county-to-announce-new-guidelines-for-face-masks
West Virginia,2,Parts of State,null,null,Mandatory: Workers Only,https://www.herald-dispatch.com/coronavirus/west-virginia-meets-governors-benchmark-to-reopen/article_c32e0c26-bd57-5e09-b660-ebac99ac484c.html
Wyoming,2,Parts of State,null,null,Partially,https://www.wyomingnewsnow.tv/content/news/Some-small-businesses-require-shoppers-to-wear-masks-570355741.html
California,3,Entire State,Everywhere in public where social distancing isn't possible,6/18/2020,"San Diego County, Los Angeles County, Bay Area Counties",https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Guidance-for-Face-Coverings_06-18-2020.pdf
Connecticut,3,Entire State,Everywhere in public where social distancing isn't possible,4/17/2020,Mandatory,https://www.nbcconnecticut.com/news/coronavirus/masks-or-cloth-face-coverings-required-in-public-in-conn-starting-tonight-to-slow-covid-19/2258053/
Delaware,3,Entire State,Everywhere in public,5/1/2020,"5/1 is effective date, imposed 4/26",https://news.delaware.gov/2020/04/25/governor-carney-requires-delawareans-to-wear-face-coverings-in-public-settings/
Hawaii,3,Entire State,Only in businesses,4/20/2020,Mandatory,https://www.hawaiinewsnow.com/2020/04/20/under-new-rule-youre-now-required-wear-face-mask-most-public-settings-oahu/
Illinois,3,Entire State,Everywhere in public where social distancing isn't possible,5/1/2020,Mandatory,https://www.nbcchicago.com/news/local/illinois-new-stay-at-home-order-includes-requirement-to-cover-faces-in-public-in-may/2260615/?_osource=db_npd_nbc_wmaq_twt_shr
Maine,3,Entire State,Everywhere in public,5/1/2020,Mandatory,https://www.pressherald.com/?p=5399794
Maryland,3,Entire State,Businesses & Public Transport,4/18/2020,Mandatory,https://www.nbcwashington.com/news/local/maryland-governor-gives-coronavirus-response-update-amid-stay-at-home-order/2274921/
Massachusetts,3,Entire State,Everywhere in public where social distancing isn't possible,5/6/2020,Mandatory,https://www.nepr.net/post/massachusetts-communities-issue-face-mask-orders-limit-covid-19s-spread#stream/0
Michigan,3,Entire State,Everywhere in public where social distancing isn't possible,4/26/2020,Mandatory,https://fox59.com/news/coronavirus/face-mask-orders-eased-restrictions-heres-where-stay-at-home-orders-stand-in-indianas-surrounding-states/
New Jersey,3,Entire State,Everywhere in public where social distancing isn't possible,4/10/2020,Mandatory,https://www.nj.com/news/2020/04/njs-new-coronavirus-rules-for-grocery-shopping-masks-store-limits-everything-you-need-to-know.html
New Mexico,3,Entire State,Everywhere in public where social distancing isn't possible,5/15/2020 (est.),Mandatory,https://www.abqjournal.com/1455269/lujan-grisham-to-address-public-health-orders.html
New York,3,Entire State,Everywhere in public where social distancing isn't possible,4/15/2020,Mandatory,https://thehill.com/policy/healthcare/492967-new-york-to-require-all-people-to-wear-masks-when-in-public
